recurrence_order,tap_value,reflected_value,matrix_order,global_antiperiod_h,gcd_matrix_with_order,gcd_matrix_with_value,gcd_matrix_with_order_plus_value,v2_matrix_order,k_divides_matrix_order,v_divides_matrix_order,k_plus_v_divides_matrix_order
98,41,57,99416959761132202528522436841334440963629360,,14,1,1,4,False,False,False
98,42,56,7280,,14,14,140,4,False,False,True
98,43,55,13785818135542078045612628467319868719485186880,,2,1,1,6,False,False,False
98,44,54,2133345083021347463840,,2,44,142,5,False,True,True
98,45,53,318134272056797117923741438126926711544510816,,14,1,13,5,False,False,False
98,46,52,53153312974838314098064,,2,2,16,4,False,False,False
98,47,51,13635361662657419628050185754359603802720,,2,1,5,5,False,False,False
98,48,50,6135568501670730066724,,2,4,2,2,False,False,False
98,49,49,392,196,98,49,49,3,True,True,False
98,50,48,1107865180308850112240,,14,10,4,4,False,False,False
98,51,47,13635361662657419628050185754359603802720,,2,1,1,5,False,False,False
98,52,46,159532886153745019726716,,2,4,6,2,False,False,False
98,53,45,318134272056797117923741438126926711544510816,,14,1,1,5,False,False,False
98,54,44,328557568163802402880,,14,2,152,6,False,False,True
98,55,43,13785818135542078045612628467319868719485186880,,2,5,17,6,False,False,False
98,56,42,10192,,98,56,14,4,True,True,False
98,57,41,99416959761132202528522436841334440963629360,,14,19,5,4,False,False,False
98,58,40,238314558328433918356960,,2,2,4,5,False,False,False
98,59,39,3579010560638967552797064649109430113379065560,1789505280319483776398532324554715056689532780,14,1,1,3,False,False,False
98,60,38,17725876239305002191856,,2,4,2,4,False,False,False
98,61,37,13469076764332329144781281050038193049440,,14,1,1,5,False,False,False
98,62,36,26588814336079548571360,,2,2,160,5,False,False,True
98,63,35,16120286,,14,7,161,1,False,False,True
98,64,34,159532886153745019726716,,2,4,6,2,False,False,False
98,65,33,981895901409867118023303776215425144713600,,14,65,1,7,False,True,False
98,66,32,29912391137105365442896,,2,2,4,4,False,False,False
98,67,31,893525270254506165731333693746464973135463768,446762635127253082865666846873232486567731884,14,67,11,3,False,True,False
98,68,30,1470404874217334902132,,2,4,2,2,False,False,False
98,69,29,566363288707116054543108938530452372500840,,2,1,1,3,False,False,False
98,70,28,15302,,14,14,14,1,False,False,False
98,71,27,302536794884593586846591138694833966566816,,98,1,13,5,True,False,False
98,72,26,79766442459198984439252,,2,4,2,2,False,False,False
98,73,25,78551672112789411833022577315290546060373040,,2,1,1,4,False,False,False
